xxxx;;;;;;;;;;;;;;x
EVENT_15000_TITLE;蒋委员长发表抗战建国纲领;;;;;;;;;;;;;x
EVENT_15000_DESC;1938年3月，中国国民党在武汉召开临时全国代表大会，检查全国抗战以来的工作，确定以后的任务和行动方针。为帮助国民党继续抗战，3月25日，中共中央致电国民党临时全国代表大会，提出八项建议，其中包括：誓与日寇抗战到底，坚决反对一切投降妥协悲观失望的倾向；继续动员全国武力、人力、财力为保卫西北，保卫武汉而战；继续扩大与巩固抗日民族统一战线；继续扩大与巩固国民革命军；继续改善政治机构，洗刷贪官污吏；普遍组织民众的自卫队、游击队，颁布民族统一战线总方针下，言论集会结社出版信仰自由的民主法令等。4月1日，国民党临时全国代表大会接受了中国共产党等各界人士的一些建议，通过了《抗战建国纲领》，并于7月2日以国民政府的名义正式公布。 ;;;;;;;;;;;;;x
EVENT_15000_OPTION;将抗战进行到底;;;;;;;;;;;;;x
EVENT_15000_MODIFIER;表面上获得认可的政府;;;;;;;;;;;;;x
shanghai_incident2_title;进攻上海;;;;;;;;;;;;;x,,,,,,,,,,,,,,,
shanghai_incident2_desc;上海是支那最富有的城市，攻下上海，皇军将享有直接威胁支那首都的战略效果。;;;;;;;;;;;;;x,,,,,,,,,,,,,,,
Chinese_Defence_title;空间换时间;;;;;;;;;;;;;x
Chinese_Defence_desc;政府深知本国之物资、资源、兵力、军火、武器、民心、军队\n士气等都不如日本，如若正面迎敌则很有可能被击败，乃至\n亡国。故我党决定初期以空间换取时间，以争取后\n方制造武器，兵力编排，军事攻守能力，防御战线\n等整体规划，做好迎敌准备。;;;;;;;;;;;;;x
Chinese_Counterattack_title;正面抗敌;;;;;;;;;;;;;x
Chinese_Counterattack_desc;日本一次次的挑战我们的底线，这一次我们再也无法容\n忍这种侵略行为。党内的主战派表示他们已经做好了与\n日军正面交锋的准备。;;;;;;;;;;;;;x
Shanghai_Invasion_China2;第二次上海事变;;;;;;;;;;;;;x,,,,,,,,,,,,,,,
Shanghai_Invasion_China_desc2;平津虽华，豺狼野心欲壑难填。1937.8.13，日军大举进攻上海，兵锋直指首都南京，神州举国群情激奋。蒋委员长命令张治中、张发奎编组第九、第八集团军开赴前线，因战前有所准备，中国军队在战役初期节节进取，大有将日寇赶出上海之势。;;;;;;;;;;;;;x,,,,,,,,,,,,,,,
#;;;;;;;;;;;;;;x
